AñoMes,Aerolinea,Codigo_IATA,Tipo,Región,Tipo_Operacion,Categoria_Precios,Terminal,Area_Terminal,Cantidad_Pasajeros,Pasajeros_Atrasados_Perdida_Conexion,Vuelos_Atrasados_Aeropuerto
201206,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,27271,6818-1432,29
201206,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29131,2913-1427,12
201206,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5415,1137-694,9
201206,Air Canada ,AC,International,Canada,Deplaned,Other,Terminal 1,B,35156,9141-3291,51
201206,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,34090,5795-1159,31
201206,Air China,CA,International,Asia,Deplaned,Other,International,G,6263,689-193,4
201206,Air China,CA,International,Asia,Enplaned,Other,International,G,5500,1320-356,5
201206,Air France,AF,International,Europe,Deplaned,Other,International,A,12050,3254-748,17
201206,Air France,AF,International,Europe,Enplaned,,International,A,11638,2211-1282,8
201206,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,4998,850-221,3
201206,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4962,1340-415,9
201206,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,8055,806-492,4
201206,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7984,1916-1265,10
201206,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,36641,3664-1759,14
201206,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,39379,7482-1945,43
201206,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,3678,552-116,4
201206,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,7977,718-294,3
201206,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,8837,1856-612,12
201206,Alaska Airlines,AS,International,Mexico,Deplaned,,International,A,6969,1185-367,9
201206,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,10046,1607-868,9
201206,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2266,249-122,1
201206,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545,851-332,4
201206,All Nippon Airways,NH,International,Asia,Enplaned,,International,G,6094,609-305,3
